description,category
DIVIDEND PAYOUT #3924,income
HOUSE RENT TRANSFER #8389,rent
PIZZA HUT *5673,dining
ACME CORP SALARY TXN9143,income
PIZZA HUT TXN8937,dining
PARKING FEE #6968,transport
INTEREST CREDIT REF 5116,income
VENMO PAYMENT POS,transfers
AMAZON PRIME PMT,subscriptions
KROGER *2647,groceries
NETFLIX POS,subscriptions
ZARA STORE 7091,shopping
FREELANCE PAYMENT REF 6012,income
DISNEY PLUS ONLINE,subscriptions
MYNTRA ONLINE,shopping
UPI TRANSFER *9541,transfers
LANDLORD RENT STORE 4037,rent
PG ACCOMMODATION RENT POS,rent
DOORDASH #6404,dining
UBER TRIP POS,transport
BEST BUY POS,shopping
FLIPKART POS,shopping
METRO CARD RECHARGE - CARD,transport
SAFEWAY STORE TXN1779,groceries
ACME CORP SALARY STORE 6332,income
PG ACCOMMODATION RENT TXN4008,rent
KROGER REF 4474,groceries
KFC STORE 8930,dining
IMPS PAYMENT POS,transfers
AT&T WIRELESS,utilities
APPLE STORE ONLINE,shopping
MCDONALDS - CARD,dining
PAYROLL DEPOSIT #6665,income
ACCOUNT TRANSFER ONLINE,transfers
HP PETROL PUMP #1093,transport
HOUSE RENT TRANSFER ONLINE,rent
EBAY PURCHASE *8640,shopping
ZARA,shopping
UBER TRIP TXN6309,transport
DELHI METRO STORE 1704,transport
NETFLIX,subscriptions
COSTCO WHOLESALE #509,groceries
PAYTM WALLET TXN5191,transfers
METRO CARD RECHARGE ONLINE,transport
INTEREST CREDIT ONLINE,income
MONTHLY RENT PAYMENT *9533,rent
EBAY PURCHASE STORE 7405,shopping
PAYROLL DEPOSIT STORE 6918,income
OLA CABS REF 2824,transport
LANDLORD RENT POS,rent
AUDIBLE *6791,subscriptions
APARTMENT RENT #5041,rent
WHOLE FOODS MKT REF 1754,groceries
WATER UTILITY #2542,utilities
SALARY CREDIT TXN2544,income
MONTHLY RENT PAYMENT,rent
MONTHLY RENT PAYMENT STORE 953,rent
TACO BELL TXN7016,dining
RELIANCE FRESH REF 2777,groceries
PIZZA HUT TXN8417,dining
FREELANCE PAYMENT REF 2076,income
LIDL TXN7024,groceries
WALMART GROCERY,groceries
CONSULTING INCOME TXN941,income
GYM MEMBERSHIP - CARD,subscriptions
JIO RECHARGE *1237,utilities
ADOBE CREATIVE CLOUD PMT,subscriptions
SWIGGY ORDER - CARD,dining
ACCOUNT TRANSFER - CARD,transfers
SALARY CREDIT STORE 4886,income
WHOLE FOODS MKT #6324,groceries
SHELL FUEL *8053,transport
COMCAST XFINITY PMT,utilities
SPOTIFY PREMIUM PMT,subscriptions
AIRTEL POSTPAID,utilities
APARTMENT RENT - CARD,rent
APARTMENT RENT #9800,rent
GOOGLE PAY SENT ONLINE,transfers
IRCTC TRAIN REF 6670,transport
ZOMATO STORE 4219,dining
AT&T WIRELESS,utilities
MYNTRA,shopping
PANERA BREAD *4023,dining
BROADBAND INTERNET REF 7641,utilities
PG ACCOMMODATION RENT REF 1502,rent
BEST BUY POS,shopping
IKEA,shopping
BIG BAZAAR *1184,groceries
FREELANCE PAYMENT ONLINE,income
LYFT RIDE *7679,transport
MYNTRA TXN3888,shopping
MICROSOFT 365 *9183,subscriptions
FREELANCE PAYMENT #2673,income
INDIAN OIL POS,transport
ALDI STORE 3698,groceries
FREELANCE PAYMENT PMT,income
DOMINOS PIZZA ONLINE,dining
TESCO REF 1239,groceries
ELECTRIC BILL PAYMENT ONLINE,utilities
UBER TRIP STORE 1412,transport
BROADBAND INTERNET,utilities
SPROUTS FARMERS MKT STORE 6973,groceries
HOUSE RENT TRANSFER STORE 266,rent
UPI TRANSFER POS,transfers
DISNEY PLUS TXN190,subscriptions
DELHI METRO #4173,transport
CONSULTING INCOME ONLINE,income
NEFT TRANSFER PMT,transfers
GOOGLE PAY SENT *8437,transfers
ZELLE TRANSFER PMT,transfers
WHOLE FOODS MKT - CARD,groceries
AIRTEL POSTPAID - CARD,utilities
UBER EATS,dining
ELECTRIC BILL PAYMENT - CARD,utilities
IKEA PMT,shopping
WATER UTILITY REF 6154,utilities
NIKE STORE,shopping
WHOLE FOODS MKT REF 3911,groceries
DIVIDEND PAYOUT ONLINE,income
MCDONALDS *7223,dining
VENMO PAYMENT,transfers
BIG BAZAAR *7528,groceries
SHELL FUEL ONLINE,transport
AT&T WIRELESS TXN7141,utilities
H&M,shopping
AT&T WIRELESS TXN4562,utilities
YOUTUBE PREMIUM POS,subscriptions
ICLOUD STORAGE POS,subscriptions
AJIO *7240,shopping
SPOTIFY PREMIUM REF 5185,subscriptions
PARKING FEE ONLINE,transport
MONTHLY SALARY *331,income
SPROUTS FARMERS MKT #2903,groceries
GAS BILL *7591,utilities
PIZZA HUT STORE 109,dining
COSTCO WHOLESALE STORE 1524,groceries
EBAY PURCHASE PMT,shopping
LANDLORD RENT *7006,rent
NEFT TRANSFER REF 1958,transfers
AJIO *5602,shopping
AIRTEL POSTPAID TXN5818,utilities
NEFT TRANSFER TXN5503,transfers
HOUSE RENT TRANSFER - CARD,rent
VODAFONE BILL REF 4471,utilities
YOUTUBE PREMIUM,subscriptions
SALARY CREDIT PMT,income
TACO BELL #8897,dining
NEFT TRANSFER POS,transfers
PUBLIX,groceries
SPROUTS FARMERS MKT ONLINE,groceries
ZELLE TRANSFER POS,transfers
TRADER JOES - CARD,groceries
AUDIBLE,subscriptions
UBER EATS REF 9741,dining
FREELANCE PAYMENT #3280,income
AJIO POS,shopping
UPI TRANSFER STORE 7669,transfers
YOUTUBE PREMIUM *3543,subscriptions
VENMO PAYMENT ONLINE,transfers
HOTSTAR TXN1489,subscriptions
DOMINOS PIZZA - CARD,dining
SAFEWAY STORE ONLINE,groceries
YOUTUBE PREMIUM STORE 5591,subscriptions
ZOMATO,dining
ACCOUNT TRANSFER,transfers
MYNTRA PMT,shopping
PAYROLL DEPOSIT REF 3557,income
EBAY PURCHASE POS,shopping
HOTSTAR,subscriptions
JIO RECHARGE #252,utilities
AMAZON PRIME REF 6988,subscriptions
UPI TRANSFER STORE 6784,transfers
ACME CORP SALARY REF 8033,income
TRADER JOES *2387,groceries
IRCTC TRAIN TXN7012,transport
LANDLORD RENT ONLINE,rent
MCDONALDS REF 3781,dining
PIZZA HUT TXN2203,dining
MYNTRA ONLINE,shopping
INTEREST CREDIT *9416,income
DMART POS,groceries
ADOBE CREATIVE CLOUD - CARD,subscriptions
FASTAG RECHARGE PMT,transport
AIRTEL POSTPAID #1853,utilities
WALMART GROCERY STORE 3357,groceries
MONTHLY SALARY *2430,income
COMCAST XFINITY STORE 7107,utilities
RELIANCE FRESH #6301,groceries
KFC TXN8448,dining
MCDONALDS - CARD,dining
HOUSE RENT TRANSFER #9581,rent
SHELL FUEL #1688,transport
METRO CARD RECHARGE ONLINE,transport
HBO MAX *5853,subscriptions
BP PETROL POS,transport
ELECTRIC BILL PAYMENT STORE 5005,utilities
APARTMENT RENT #4669,rent
WALMART GROCERY REF 4841,groceries
LANDLORD RENT ONLINE,rent
ELECTRICITY BOARD #1300,utilities
LINKEDIN PREMIUM POS,subscriptions
TESCO *206,groceries
FREELANCE PAYMENT #4166,income
BROADBAND INTERNET - CARD,utilities
DIVIDEND PAYOUT,income
PG ACCOMMODATION RENT PMT,rent
PARKING FEE STORE 1098,transport
SWIGGY ORDER PMT,dining
UPI TRANSFER REF 4475,transfers
ZELLE TRANSFER - CARD,transfers
FASTAG RECHARGE,transport
WATER UTILITY POS,utilities
FREELANCE PAYMENT PMT,income
OLA CABS REF 6715,transport
GYM MEMBERSHIP #7561,subscriptions
DIVIDEND PAYOUT *5123,income
GOOGLE PAY SENT ONLINE,transfers
NIKE STORE TXN7712,shopping
SAFEWAY STORE,groceries
PIZZA HUT REF 5207,dining
APARTMENT RENT ONLINE,rent
MONTHLY SALARY *845,income
TARGET STORE 1420,shopping
TESCO POS,groceries
GOOGLE PAY SENT #2622,transfers
NIKE STORE REF 4599,shopping
SHELL FUEL PMT,transport
NIKE STORE #4781,shopping
FASTAG RECHARGE STORE 8073,transport
ACME CORP SALARY *4732,income
PG ACCOMMODATION RENT STORE 8021,rent
AJIO ONLINE,shopping
UBER TRIP,transport
GOOGLE PAY SENT ONLINE,transfers
SAFEWAY STORE PMT,groceries
KFC #614,dining
KFC,dining
SHELL FUEL STORE 2267,transport
MONTHLY RENT PAYMENT - CARD,rent
NEFT TRANSFER ONLINE,transfers
HOUSE RENT TRANSFER #7805,rent
REDBUS STORE 2679,transport
CAFE COFFEE DAY #8827,dining
HOTSTAR POS,subscriptions
GYM MEMBERSHIP REF 4273,subscriptions
NETFLIX #4379,subscriptions
AIRTEL POSTPAID PMT,utilities
COSTCO WHOLESALE - CARD,groceries
ELECTRIC BILL PAYMENT - CARD,utilities
PUBLIX - CARD,groceries
SAFEWAY STORE - CARD,groceries
COMCAST XFINITY *932,utilities
STARBUCKS PMT,dining
DECATHLON STORE 9257,shopping
PAYROLL DEPOSIT STORE 3783,income
PAYROLL DEPOSIT STORE 3133,income
ZOMATO #871,dining
HBO MAX #7065,subscriptions
SUBWAY PMT,dining
BP PETROL ONLINE,transport
MUNICIPAL WATER TAX #2300,utilities
ACME CORP SALARY - CARD,income
SHELL FUEL,transport
COSTCO WHOLESALE - CARD,groceries
PAYROLL DEPOSIT *3730,income
VENMO PAYMENT STORE 8947,transfers
APARTMENT RENT ONLINE,rent
IKEA ONLINE,shopping
CONSULTING INCOME - CARD,income
GOOGLE PAY SENT *3073,transfers
LINKEDIN PREMIUM REF 6067,subscriptions
HOUSE RENT TRANSFER REF 1224,rent
JIO RECHARGE STORE 6758,utilities
SPROUTS FARMERS MKT - CARD,groceries
MONTHLY SALARY ONLINE,income
LINKEDIN PREMIUM TXN9424,subscriptions
CONSULTING INCOME POS,income
GAS BILL #6367,utilities
AIRTEL POSTPAID REF 5247,utilities
IKEA TXN3605,shopping
LIDL - CARD,groceries
SWIGGY ORDER REF 8935,dining
DIVIDEND PAYOUT ONLINE,income
HOTSTAR ONLINE,subscriptions
MCDONALDS #8062,dining
RELIANCE FRESH PMT,groceries
VENMO PAYMENT - CARD,transfers
TARGET - CARD,shopping
NEFT TRANSFER,transfers
H&M REF 2088,shopping
CAFE COFFEE DAY #2604,dining
ELECTRICITY BOARD TXN3978,utilities
LANDLORD RENT REF 7713,rent
IKEA - CARD,shopping
CAFE COFFEE DAY STORE 3358,dining
TESCO *811,groceries
H&M STORE 9983,shopping
UBER EATS TXN4442,dining
PAYROLL DEPOSIT,income
DIVIDEND PAYOUT #9553,income
LINKEDIN PREMIUM #5020,subscriptions
ADOBE CREATIVE CLOUD #5509,subscriptions
IMPS PAYMENT *9849,transfers
IKEA - CARD,shopping
JIO RECHARGE PMT,utilities
PUBLIX PMT,groceries
HOTSTAR REF 8475,subscriptions
LYFT RIDE REF 4961,transport
GYM MEMBERSHIP - CARD,subscriptions
HOUSE RENT TRANSFER,rent
FASTAG RECHARGE - CARD,transport
ACME CORP SALARY POS,income
DELHI METRO POS,transport
GAS BILL,utilities
NIKE STORE *4150,shopping
NETFLIX STORE 8921,subscriptions
MONTHLY RENT PAYMENT PMT,rent
PG ACCOMMODATION RENT #2783,rent
GAS BILL TXN6855,utilities
JIO RECHARGE *3828,utilities
CROMA ELECTRONICS,shopping
APARTMENT RENT REF 433,rent
ZARA - CARD,shopping
TACO BELL ONLINE,dining
AMAZON ORDER - CARD,shopping
FREELANCE PAYMENT ONLINE,income
APARTMENT RENT POS,rent
PG ACCOMMODATION RENT *5380,rent
BROADBAND INTERNET *8380,utilities
NEFT TRANSFER REF 9524,transfers
AIRTEL POSTPAID TXN7279,utilities
SPROUTS FARMERS MKT *4112,groceries
BROADBAND INTERNET *6584,utilities
CROMA ELECTRONICS TXN7757,shopping
IMPS PAYMENT #4626,transfers
